"AxcQ1","AxcQ2"
"arnT_2",-0.0592882130939198,-0.148855834114979
"prpC_1",0.0653759230774122,-0.00598627292648932
"acpP_3",-0.000721281298743141,-0.0215011995454317
"fdnG",0.2222388537007,0.0516292191126005
"cobL",-0.0416945241383583,0.114372708957545
"pyrC_1",-0.0434075561585241,-0.0277874390272919
"mmsA_1",0.220328890612759,-0.0759240450990527
"cpdA_1",-0.125204142212664,-0.0720629120485808
"rfaF",0.00544968864870171,-0.0299717884820155
"nudC_3",-0.0391019119657283,-0.039230065706876
"mrcB",0.0272757111540203,-0.0158453520927638
"eno",0.307845993475098,0.00575248167604478
"mcpQ_2",-0.12329997908513,0.170571245368077
"group_12295",-0.0330464722939273,0.0325041176464663
"polC",-0.0243693521212962,-0.164858188992536
"group_2575",-0.12329997908513,0.170571245368077
"hipO_2",-0.00564150391443034,-0.0404858211394604
"edd",0.0934420080224659,0.0413396318644793
"group_12497",-0.0330464722939273,0.0325041176464663
"group_9653",-0.167944667316947,-0.0253197575627694
"deaD_2",-0.0215034269895335,-0.0321858316703905
"phzG_1",-0.335440945917442,-0.229977010318176
"cbs",0.0716037939838135,-0.119026292612668
"fliY_1",-0.0330464722939273,0.0325041176464663
"lip_1",-0.0120053463488996,0.0686710227972704
"catD_4",-0.0139889727368735,0.374236241237472
"pobA",-0.0139889727368735,0.374236241237472
"mdtB_1",-0.0773705392169209,0.101117838819877
"poxB",0.0477961144254489,0.00921879634286061
"ilvG",0.442257645987429,-0.0683104074856961
"mexA_2",-0.0924863994649776,-0.185041706561083
"arcB",0.0751198585076703,0.0943575276242879
"nmoA",-0.0602950532855351,0.203728666971243
"puuC_2",-0.0121518777779926,-0.0213604653350112
"bkdA1",0.143028548028345,-0.0314305427455962
"fliP",-0.111522725507468,0.142854423093763
"group_3195",-0.185052361867128,-0.0648014506096796
"ccoP1",-0.0255692007161436,0.126643914480134
"cysG_3",0.032956641359299,0.118355179108131
"group_11276",-0.138166644980709,-0.0379986768671866
"dppA_5",-0.185052361867128,-0.0648014506096796
"hpcE_2",-0.0164138213642709,0.50875860604311
"valS",-0.052033322820609,-0.0194093176400557
"glxR_2",0.0447993757845007,0.0341133252672123
"hom",0.204932658151224,-0.111232504971893
"sfnG",0.111622159836639,-0.158799767520424
"deaD_1",-0.0215034269895335,-0.0321858316703905
"rcsB_2",-0.0773705392169209,0.101117838819877
"fadI",0.609502286884332,0.277966933360256
"purU_1",0.0521019653023322,-0.0586540181984215
"ispF",-0.0166022418910297,-0.0523690058570346
"rhlA_1",-0.315330093090556,-0.116216537080142
"phzD2_2",-0.335440945917442,-0.229977010318176
"surE",0.0150463994007501,-0.0980140292854946
"menF_2",-0.335440945917442,-0.229977010318176
"rcsC_7",-0.0773705392169209,0.101117838819877
"hemA",0.032956641359299,0.118355179108131
"group_10247",-0.111522725507468,0.142854423093763
"astD",-0.0121518777779926,-0.0213604653350112
"fadE",0.0368885095278967,0.0855451553391695
"aroE_1",0.078049806704292,-0.0473908376206242
"group_5381",0.0438145358275735,-0.0126321448050802
"rpsN",-0.104800567010502,-0.0126140900905699
"group_11248",-0.138166644980709,-0.0379986768671866
"opuAB_2",-0.0330464722939273,0.0325041176464663
"nudE",0.00507358901076399,-0.0206478255781182
"dnaB_2",-0.0416805910885774,-0.0514127261215642
"dhaT_3",0.0819984444268594,-0.0257300282704165
"prs",0.205142233344092,-0.00765232485731409
"fecI_1",-0.0773705392169209,0.101117838819877
"phzS_2",-0.223645005016797,-0.170253346476886
