"AxcR1","AxcR2"
"W25637",-0.212913610939375,-0.950877647074857
"W36662",2.24326711921084,-0.374366008761138
"W16407",-0.487729733556198,1.7203505072205
"UCBPP-PA14",-0.955382463715036,-0.484812768890838
"M1608",2.23372764685285,-0.368377861237045
"F22031",-0.584593588619039,-0.717565525127766
"F30658",-0.247289579871677,1.56942065943147
"W91453",-0.221470996072877,-0.945505978425176
"F34365",-1.72994298581117,0.00139679266495196
"X9820",-0.294717191438469,-0.899527646818554
"M37351",0.269790358876487,1.24483761764712
